date [-],day ahead price [PLN/MWh],imbalance price [PLN/MWh],load forecast [MWh],load actual [MWh],biomass [MWh],fossil brown coal/lignite [MWh],fossil coal-derived gas [MWh],fossil gas [MWh],fossil hard coal [MWh],fossil oil [MWh],hydro pumped storage [MWh],hydro run-of-river and poundage [MWh],hydro water reservoir [MWh],solar [MWh],wind onshore [MWh],total generation [MWh],renewable generation [MWh],non-renewable generation [MWh],solar's share in renewable [%],solar's share in total [%],wind's share in renewable [%],wind's share in total [%],renewable's share in total [%],non-renewable's share in total [%]
2022-07-01 00:00:00+02:00,239.6,1258,18200,18100,226,4652,57,1489,8424,212,114,112,0,0,1210,16496,1436,15060,0,0,0.84,0.07,0.09,0.91
2022-07-01 01:00:00+02:00,234.96,1098.92,17300,17381,231,4605,61,1324,8492,214,4,108,0,0,1308,16347,1420,14927,0,0,0.92,0.08,0.09,0.91
2022-07-01 02:00:00+02:00,224.43,1051.37,16700,16981,234,4530,63,1731,8602,215,0,108,0,0,1375,16858,1483,15375,0,0,0.93,0.08,0.09,0.91
2022-07-01 03:00:00+02:00,224.29,1031.45,16650,16783,235,4439,63,1630,8606,215,6,108,0,0,1622,16924,1736,15188,0,0,0.93,0.1,0.1,0.9
2022-07-01 04:00:00+02:00,224.01,1015.38,16350,16507,233,4583,63,1419,8488,215,1,108,0,15,1555,16680,1679,15001,0.01,0,0.93,0.09,0.1,0.9
2022-07-01 05:00:00+02:00,203.43,952.37,17600,16891,237,4563,63,1160,8403,214,0,108,0,181,1544,16473,1833,14640,0.1,0.01,0.84,0.09,0.11,0.89
2022-07-01 06:00:00+02:00,320.51,1367.77,20600,19272,232,4809,59,1348,8917,215,0,103,0,737,1515,17935,2355,15580,0.31,0.04,0.64,0.08,0.13,0.87
2022-07-01 07:00:00+02:00,363.29,1656.52,22300,21465,224,5135,50,1390,9669,216,72,103,46,1859,910,19674,2990,16684,0.62,0.09,0.3,0.05,0.15,0.85
2022-07-01 08:00:00+02:00,360.75,1800.63,23100,22743,236,5047,39,1526,10048,216,118,103,7,3134,448,20922,3810,17112,0.82,0.15,0.12,0.02,0.18,0.82
2022-07-01 09:00:00+02:00,284.08,1328.66,23300,23095,236,5056,37,1284,9785,209,61,106,0,4095,364,21233,4626,16607,0.89,0.19,0.08,0.02,0.22,0.78
2022-07-01 10:00:00+02:00,216.65,1250,23550,23166,235,5050,39,1042,9038,207,308,109,0,4873,494,21395,5784,15611,0.84,0.23,0.09,0.02,0.27,0.73
